"id","_name","_prefix","_province_id","_district_id","sync_words","priority_sync_words"
387,Mai Dịch,Phường,2,28,mai dich,phuong mai dich
388,Nghĩa Đô,Phường,2,28,nghia do,phuong nghia do
389,Nghĩa Tân,Phường,2,28,nghia tan,phuong nghia tan
390,Quan Hoa,Phường,2,28,quan hoa,phuong quan hoa
391,Trung Hòa,Phường,2,28,trung hoa,phuong trung hoa
392,Yên Hòa,Phường,2,28,yen hoa,phuong yen hoa
393,Chúc Sơn,Thị trấn,2,29,chuc son,thi tran chuc son
394,Đại Yên,Xã,2,29,dai yen,xa dai yen
395,Đồng Lạc,Xã,2,29,dong lac,xa dong lac
396,Đồng Phú,Xã,2,29,dong phu,xa dong phu
397,Đông Phương Yên,Xã,2,29,dong phuong yen,xa dong phuong yen
398,Đông Sơn,Xã,2,29,dong son,xa dong son
399,Hoà Chính,Xã,2,29,hoa chinh,xa hoa chinh
400,Hoàng Diệu,Xã,2,29,hoang dieu,xa hoang dieu
401,Hoàng Văn Thụ,Xã,2,29,hoang van thu,xa hoang van thu
402,Hồng Phong,Xã,2,29,hong phong,xa hong phong
403,Hợp Đồng,Xã,2,29,hop dong,xa hop dong
404,Hữu Văn,Xã,2,29,huu van,xa huu van
405,Lam Điền,Xã,2,29,lam dien,xa lam dien
406,Mỹ Lương,Xã,2,29,my luong,xa my luong
407,Nam Phương Tiến,Xã,2,29,nam phuong tien,xa nam phuong tien
408,Ngọc Hòa,Xã,2,29,ngoc hoa,xa ngoc hoa
409,Phú Nam An,Xã,2,29,phu nam an,xa phu nam an
410,Phú Nghĩa,Xã,2,29,phu nghia,xa phu nghia
411,Phụng Châu,Xã,2,29,phung chau,xa phung chau
412,Quảng Bị,Xã,2,29,quang bi,xa quang bi
413,Tân Tiến,Xã,2,29,tan tien,xa tan tien
414,Thanh Bình,Xã,2,29,thanh binh,xa thanh binh
415,Thượng Vực,Xã,2,29,thuong vuc,xa thuong vuc
416,Thụy Hương,Xã,2,29,thuy huong,xa thuy huong
417,Thuỷ Xuân Tiên,Xã,2,29,thuy xuan tien,xa thuy xuan tien
418,Tiên Phương,Xã,2,29,tien phuong,xa tien phuong
419,Tốt Động,Xã,2,29,tot dong,xa tot dong
420,Trần Phú,Xã,2,29,tran phu,xa tran phu
421,Trung Hòa,Xã,2,29,trung hoa,xa trung hoa
422,Trường Yên,Xã,2,29,truong yen,xa truong yen
